

     SECTION 1A BOYS' CROSS COUNTRY CHAMPIONSHIP                 

          OCTOBER 27, 2011         

          5000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA         


  FINISH ORDER
  ------------
   IND   TEAM    NAME                         TIME      PACE  GRADE    SCHOOL

     1     1    Pat Reinschmidt              16:51.5    5:26    11    Plainview-Elgin-Millville
     2     2    Matt Schrupp                 17:02.1    5:29    10    Cotter                   
     3     3    Carston Dammann              17:08.3    5:31    11    Lake City                
     4     4    Nathan Warneke               17:09.7    5:31    12    Zumbro-Mazep/Kenyon-Wanam
     5     5    Eric Veglahn                 17:14.0    5:33    12    La Crescent              
     6     6    Brandon Franta               17:14.6    5:33    11    La Crescent              
     7     7    Emilio Taiveaho              17:15.0    5:33    11    Cotter                   
     8     8    Shane Nepstad                17:17.0    5:34    12    Byron                    
     9     9    Austin O'Hare                17:18.6    5:34    10    Lewstn-Altra/Rshfrd-Ptrsn
    10    10    Alex Ondler                  17:23.2    5:36    11    Byron                    
    11    11    Devin Hanson                 17:30.4    5:38    12    Plainview-Elgin-Millville
    12    12    Alex Paulson                 17:32.7    5:39    12    Chatfield                
    13    13    Jacob Johnson                17:38.2    5:41    11    Cotter                   
    14    14    Austan Ronnenberg            17:42.2    5:42    12    Byron                    
    15    15    Dillon Clark                 17:43.3    5:42    10    Plainview-Elgin-Millville
    16    16    Tyler Hoffman                17:53.7    5:46    12    Plainview-Elgin-Millville
    17    17    Gabe Tempel                  17:56.1    5:46     9    Hayfield                 
    18    18    Joe Tereba                   18:00.5    5:48    10    Cotter                   
    19    19    Ian Torchia                  18:02.6    5:49    10    Rochester Lourdes        
    20    20    Aaron Timm                   18:09.2    5:51    11    Plainview-Elgin-Millville
    21    21    Quad Kilander                18:10.3    5:51    12    La Crescent              
    22    22    Erick Rico                   18:10.6    5:51    12    Cotter                   
    23    23    Joe Glomski                  18:11.5    5:51    12    Wabasha-Kellogg          
    24    24    James Drettwan               18:16.1    5:53    10    Zumbro-Mazep/Kenyon-Wanam
    25    25    Adam Driessen                18:21.6    5:55    12    Blooming Prairie         
    26    26    Shane O'Leary                18:24.4    5:56    12    Byron                    
    27    27    Sam Jewson                   18:27.2    5:56    10    Wabasha-Kellogg          
    28    28    Graham Sullivan              18:27.6    5:57    12    Lewstn-Altra/Rshfrd-Ptrsn
    29    29    Jon Fleischmann              18:27.9    5:57    10    Hayfield                 
    30    30    Brandon Duellman             18:31.3    5:58    12    Cotter                   
    31    31    Tyler Cozine                 18:32.4    5:58    11    Blooming Prairie         
    32    32    Peter Huber                  18:33.4    5:58     9    Plainview-Elgin-Millville
    33    33    Kyle Matthees                18:33.8    5:59    11    Rochester Lourdes        
    34    34    Chad Kruger                  18:34.1    5:59    10    Hayfield                 
    35    35    Isaiah Rutten                18:34.8    5:59    11    Pine Island              
    36    36    Ryan Ruberg                  18:35.4    5:59    10    Lewstn-Altra/Rshfrd-Ptrsn
    37    37    Chris Breuer                 18:37.4    6:00    12    Lake City                
    38    38    Jason Carpenter              18:37.9    6:00    12    La Crescent              
    39    39    Connor Wernecke              18:39.3    6:00    12    La Crescent              
    40    40    Ryan Brandt                  18:40.3    6:01    12    Rochester Lourdes        
    41    41    Hunter Gross                 18:40.6    6:01    10    La Crescent              
    42    42    Nick Steichen                18:42.1    6:01    11    Rochester Lourdes        
    43    43    Sergey Duchelle              18:44.9    6:02     9    Lake City                
    44    44    Justin Friedrich             18:45.9    6:02    10    Chatfield                
    45    45    Michael Dearani              18:46.6    6:03    11    Rochester Lourdes        
    46    46    Mitchel Lexvold              18:49.4    6:04    12    Zumbro-Mazep/Kenyon-Wanam
    47    47    Carl Kozlowski               18:52.1    6:04     7    Lake City                
    48    48    James Mathison               18:52.5    6:05     9    Stewartville             
    49    49    Clayton Friemuth             18:53.6    6:05     9    Kingsland                
    50    50    Ben Nystuen                  18:55.5    6:06    10    Zumbro-Mazep/Kenyon-Wanam
    51    51    Sean Szuberski               18:57.7    6:06    12    Byron                    
    52    52    Jakob Stucky                 19:01.5    6:07    10    Plainview-Elgin-Millville
    53    53    Will Morice                  19:04.3    6:08    12    Rochester Lourdes        
    54    54    Ahymad Lee                   19:07.7    6:09     9    Byron                    
    55    55    Joey Graves                  19:08.1    6:10    10    La Crescent              
    56    56    Kenny Dux                    19:09.6    6:10    11    Stewartville             
    57    57    Brad Haze                    19:11.5    6:11    12    Pine Island              
    58    58    Tyler Oakland                19:22.9    6:14    12    Hayfield                 
    59    59    Josh Meyers                  19:25.0    6:15    11    Pine Island              
    60    60    Colin Fritz                  19:26.0    6:15     9    Lake City                
    61    61    Hunter Herber                19:33.2    6:18     8    Lewstn-Altra/Rshfrd-Ptrsn
    62    62    Tim Entgelmeier              19:36.0    6:19    10    Byron                    
