

     SECTION 1A GIRLS' CROSS COUNTRY CHAMPIONSHIP                

          OCTOBER 27, 2016         

          5000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA         





          HIGH SCHOOL GRADE 7


  FINISH ORDER
  ------------
   IND   TEAM    NAME                         TIME      PACE      SCHOOL

     5     4    McKenna Beltz                20:05.6    6:28     Lake City                
     6     5    Malia Nelson                 20:08.3    6:29     Dover-Eyota              
    22    20    Madilyn Simon                20:56.4    6:44     Plainview-Elgin-Millville
    24    22    Bobbie Bruns                 21:06.5    6:48     Blooming Prairie         
    36    34    Caroline Adamson             21:28.8    6:55     Rochester Lourdes        
    47    45    Kennette Duffy               21:55.5    7:03     La Crescent              
    61    59    Sandra Kraling               22:23.9    7:13     Dover-Eyota              
    67    65    Olivia Field                 22:32.2    7:15     Stewartville             
    84    82    Emma Artega                  23:26.1    7:33     Byron                    
    85    83    Madisen Betcher              23:28.7    7:33     Goodhue                  
    91    89    Katelyn Dornack              23:42.1    7:38     Chatfield                
   109   105    Sydney Alstat                24:23.7    7:51     GrndMdw/Lry-Ostrnd/Sthlnd
   110   106    Abbie Gillespie              24:25.5    7:52     Chatfield                
   115   111    Grace Buchanan               24:33.6    7:54     Lewstn-Altra/Rshfrd-Ptrsn
   134   130    Asha Lighthizer              26:40.7    8:35     Blooming Prairie         
   137   133    Yarley Arellano              27:14.9    8:46     Chatfield                
   139   135    Grace Meinke                 28:16.1    9:06     Cotter                   



          HIGH SCHOOL GRADE 8


  FINISH ORDER
  ------------
   IND   TEAM    NAME                         TIME      PACE      SCHOOL

     7     6    Aubrey Williams              20:11.1    6:30     Cotter                   
    14    12    Kaylee Arndt                 20:32.3    6:37     Lanesboro/Fillmore Centrl
    16    14    Abigail Wick                 20:42.0    6:40     Dover-Eyota              
    21    19    Mariah Palmby                20:55.4    6:44     Dover-Eyota              
    26    24    Alyx Doughty                 21:10.5    6:49     Plainview-Elgin-Millville
    35    33    Marissa Houfek               21:27.3    6:54     Rochester Lourdes        
    45    43    Tierra Ruggeberg             21:46.1    7:00     Dover-Eyota              
    54    52    Monica Evers                 22:07.2    7:07     Plainview-Elgin-Millville
    56    54    Hannah Linder                22:11.5    7:09     Lewstn-Altra/Rshfrd-Ptrsn
    58    56    Isabelle Berg                22:18.4    7:11     Chatfield                
    62    60    Liberty Leis                 22:26.2    7:13     Rochester Lourdes        
    63    61    Sonja Pierson                22:26.5    7:13     Rochester Lourdes        
    74    72    Casey Vagts                  22:45.9    7:20     Cannon Falls             
    79    77    Stephanie Bradt              23:02.3    7:25     Chatfield                
    87    85    Ashley Muenzenberger         23:32.3    7:35     La Crescent              
    94    92    Olivia Johnson               23:48.5    7:40     Blooming Prairie         
    98    94    Sawyer Gorman                23:51.5    7:41     Pine Island              
   105   101    Karla Gomez                  24:02.3    7:44     Chatfield                
   106   102    Madison Bartholome           24:08.0    7:46     Goodhue                  
   108   104    Anna Daood                   24:20.7    7:50     St. Charles              
   117   113    Jaci Newman                  24:43.6    7:58     Pine Island              
   121   117    Taylor Mueller               25:06.3    8:05     St. Charles              
   125   121    Rose Michaud                 25:21.2    8:10     Blooming Prairie         
   127   123    Jennessa Larsen              25:31.4    8:13     Lewstn-Altra/Rshfrd-Ptrsn



          HIGH SCHOOL GRADE 9


  FINISH ORDER
  ------------
   IND   TEAM    NAME                         TIME      PACE      SCHOOL

     2     1    Kailee Malone                19:51.2    6:23     Stewartville             
     4     3    Lauryn Renier                20:03.2    6:27     Rochester Lourdes        
     9     *    Rory Bickler                 20:12.8    6:30     Austin Pacelli           
    10     8    Madeline Perry               20:13.1    6:31     RAACHE Jaguars           
