

     SECTION 1A GIRLS CROSS COUNTRY CHAMPIONSHIP                 

          OCTOBER 28, 2021         

          5000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA         


  FINISH ORDER
  ------------
   IND   TEAM    NAME                         TIME      PACE  GRADE    SCHOOL

     1     1    Sonja Semling                20:01.3    6:27     9    Cotter                   
     2     2    Olivia Yotter                20:22.3    6:33     7    Lake City                
     3     3    Hazel Freyre                 20:27.8    6:35     9    Cotter                   
     4     4    Abigail Oxentenko            20:37.0    6:38    10    Rochester Lourdes        
     5     5    Lillyan Kiehne               20:38.8    6:39     8    Lanesboro/Fillmore Centrl
     6     6    Lexi Kivimagi                20:46.7    6:41     7    Chatfield                
     7     7    Anna Peikert                 20:48.8    6:42     9    Rochester Lourdes        
     8     8    Jacey Majerus                20:52.8    6:43    11    Lake City                
     9     9    Lydia Rosendahl              20:56.0    6:44    12    La Crescent-Hokah        
    10    10    Kirsten Koopal               20:56.0    6:44     9    Pacelli                  
    11    11    Mariah Brooks                21:08.4    6:48    10    Rochester Lourdes        
    12    12    McKenna Hendrickson          21:14.1    6:50    11    GrndMdw/Lry-Ostrnd/Sthlnd
    13     *    Lily Morrisey                21:20.1    6:52     8    Schaeffer Academy        
    14    13    Gloria Hernandez             21:22.0    6:53     7    Blooming Prairie         
    15    14    Isabelle Alderman            21:22.1    6:53    11    RAACHE                   
    16    15    Aletta Strande               21:30.0    6:55    11    Chatfield                
    17    16    Brooklyn Radtke              21:33.7    6:56    12    Pine Island              
    18    17    Peyton Meincke               21:43.3    7:00     9    Lake City                
    19     *    Malia Nelson                 21:48.4    7:01    12    Dover-Eyota              
    20    18    Lexi Lewis                   21:49.2    7:01     9    Pacelli                  
    21    19    Tessa McMahon                21:57.7    7:04    12    Chatfield                
    22    20    Lauren Honken                21:59.0    7:05    10    Lwstn-Alt/Rshfd-Ptrs/Hous
    23    21    Brielle Ruen                 22:07.2    7:07    12    Lanesboro/Fillmore Centrl
    24    22    Kaelynn Ryan                 22:09.0    7:08     9    Goodhue                  
    25    23    River Weissgerber            22:11.6    7:09     8    Pine Island              
    26    24    Macy Piechowski              22:15.8    7:10     9    Cotter                   
    27    25    Mari O'Connor                22:17.4    7:11     7    Goodhue                  
    28    26    Kyra Kotsmith                22:19.2    7:11     9    Cotter                   
    29    27    Charlotte Oeltjen            22:22.8    7:12     9    Chatfield                
    30    28    Natalie Anderson             22:23.2    7:12    10    Lake City                
    31    29    Morgan Pickett               22:26.5    7:13    12    Lanesboro/Fillmore Centrl
    32    30    Katelyn Dornack              22:28.3    7:14    12    Chatfield                
    33    31    Sophia Tuseth                22:31.3    7:15     9    St. Charles              
    34    32    Alivia Levi                  22:36.0    7:17     8    Pine Island              
    35    33    Willa Field                  22:37.0    7:17     9    Lake City                
    36    34    Belle Carr                   22:42.7    7:19    11    Chatfield                
    37    35    Ella Bakken                  22:45.3    7:19     9    Chatfield                
    38    36    Audrey England               22:47.6    7:20    10    Cotter                   
    39    37    Jazmine Cline                22:50.3    7:21     9    La Crescent-Hokah        
    40    38    Corrina Lechnir              22:58.0    7:24     8    La Crescent-Hokah        
    41    39    Naomi Warmka                 22:59.4    7:24     8    GrndMdw/Lry-Ostrnd/Sthlnd
    42    40    Sami Leistikow               22:59.9    7:24     8    St. Charles              
    43    41    Natalie Gates                23:00.4    7:24    10    Lake City                
    44    42    Celia Cole                   23:02.0    7:25    12    St. Charles              
    45    43    Shiwei Hong                  23:02.6    7:25    12    Pine Island              
    46     *    Ashlyn Enright               23:03.5    7:25    10    Dover-Eyota              
    47    44    Serenity Ernst               23:05.8    7:26    10    Lwstn-Alt/Rshfd-Ptrs/Hous
    48    45    Makenna Rasmussen            23:11.6    7:28     7    La Crescent-Hokah        
    49    46    Ellie Ekern                  23:18.8    7:30    10    Lwstn-Alt/Rshfd-Ptrs/Hous
    50    47    Ashley Pederson              23:20.7    7:31     9    Pine Island              
    51     *    Claire Allen                 23:22.5    7:31     9    Schaeffer Academy        
    52    48    Susan Mettler                23:23.3    7:32    12    Kingsland                
    53    49    Aubryana Bolt                23:25.0    7:32     8    Lwstn-Alt/Rshfd-Ptrs/Hous
    54    50    Nessa Friess                 23:25.6    7:32     9    RAACHE                   
    55    51    Kylie Meyer                  23:25.7    7:33     9    Kingsland                
    56    52    Sarah Klein                  23:27.1    7:33    12    RAACHE                   
    57    53    Elese Plzak                  23:27.6    7:33     7    La Crescent-Hokah        
    58     *    Reese Barker                 23:28.1    7:33    10    Dover-Eyota              
    59    54    Lauren Brogle                23:34.5    7:35    10    Lanesboro/Fillmore Centrl
    60    55    Lauren Elsmore               23:40.3    7:37     8    Pine Island              
    61    56    Greta Deick                  23:46.5    7:39    11    Rochester Lourdes        
    62    57    Shelby Tesch                 23:46.7    7:39     8    Lwstn-Alt/Rshfd-Ptrs/Hous
    63    58    Sarah Baum                   23:46.7    7:39    11    RAACHE                   
    64    59    Katy Ottman                  23:47.8    7:40    11    GrndMdw/Lry-Ostrnd/Sthlnd
    65    60    Rylee Stoltz                 23:48.5    7:40     9    Lake City                
    66    61    Serenity McCullar            23:54.6    7:42    12    RAACHE                   
    67    62    Madisen Betcher              23:55.2    7:42    12    Goodhue                  
    68    63    Adeline Miner                24:02.4    7:44    11    Lanesboro/Fillmore Centrl
    69    64    Emma Stavenau                24:02.6    7:44    11    La Crescent-Hokah        
    70    65    Emily Miller                 24:07.7    7:46    12    Blooming Prairie         
